ID,Paper URL,Name of the Approach,Exact Quote from the paper,Assumption's Precondition,Assumption's Condition,Assumption's Outcome
A49,https://dl.acm.org/doi/abs/10.1145/3611643.3613860,updated_codeql,"When it comes to delivering updated analysis results on a PR, incrementalization seems like an obvious choice. This is because, instead of repeated re-analysis from scratch, an incremental analysis reuses the previously computed analysis results and updates that based on the changed code parts. This aligns with the life cycle of a PR because that includes multiple rounds of reviews with small code changes in each iteration. If the computational effort required to update the previous results is proportional to the size of the code change (and not the size of the entire subject program), then significant speed-ups can be achieved",,If the computational effort required to update the previous results is proportional to the size of the code change (and not the size of the entire subject program),significant speed-ups can be achieved.
A50,https://dl.acm.org/doi/abs/10.1145/3611643.3613860,updated_codeql,Incrementalization of the CodeQL analysis pipeline requires that every component of the pipeline is either truly incremental or fast enough that it does not become a bottleneck for performance.,,Having every component of the  CodeQL analysis pipeline is either truly incremental or fast enough,speed-ups the analysis
A51,https://dl.acm.org/doi/abs/10.1145/3611643.3613860,updated_codeql,"The original analysis is based on taint tracking across data flow paths, and it employs many of the features that are responsible for good precision, e.g. inter-procedurality, context-sensitivity, or field-sensitivity. The analysis also has a lazy implementation, which means that it stops with the propagation of data flow facts as early as possible if it finds that there are infeasible data flow paths.",,"Using features like inter-procedurality, context-sensitivity, or field-sensitivity during analysis in the earlier codeQL",improves the precision
A52,https://dl.acm.org/doi/pdf/10.1145/3236454.3236500,The Secret Sauce in Efficient and Precise Static Analysis,"There seems to be a general perception that static analyses, as they are designed to become more precise, will also become less efficient: “precision costs performance”. I have found this to be wrong. If carefully designed, the opposite becomes true: higher precision yields better performance.",,"If a static analysis is carefully designed so that it avoids unnecessary propagation and focuses reasoning where it matters, while still increasing precision",Performance also improves
A53,https://dl.acm.org/doi/pdf/10.1145/3236454.3236500,The Secret Sauce in Efficient and Precise Static Analysis,"This has to do with the fact that an analysis that lacks precision generally suffers from a problem in the literature sometimes described as “overtainting” [20]: due to the imprecision, the analysis will propagate information to unduly large parts of the program, in particular into program parts where that information does not belong. This is true at all levels: An imprecise call-graph analysis will cause information to flow into callees that cannot actually be called at runtime. An imprecise pointer analysis will cause information to be propagated into aliases that cannot occur at runtime, etc.",,"If the analysis is imprecise (e.g., approximations make it unclear which values/objects/flows are actually relevant), so it cannot tightly restrict where facts should go (overtainting)","The analysis will propagate information to unduly large parts of the program, in particular into program parts where that information does not belong."
A54,https://dl.acm.org/doi/pdf/10.1145/3236454.3236500,The Secret Sauce in Efficient and Precise Static Analysis,"A problem with the predominant perception “more precise = slower” is that many people have come to accept the fact that if they find their analysis to not scale, they should lower its precision, for instance by selecting a cheaper-to-compute call-graph or a cheaper-to-compute pointer analysis. In practice, however, I have found that, while this certainly buys time in the early phases of the analysis, it wastes so much time and precision later on that one eventually ends up with an analysis that is still inefficient and now also imprecise. For this reason, in the past few years we have been consequently developing static analyses that attempt to only compromise on precision as a last resort.",,Choosing a cheaper but less precise foundation (like a weaker call graph or pointer analysis) for the rest of the analysis pipeline to improve scalability,makes system both inefficient and imprecise
A55,https://dl.acm.org/doi/pdf/10.1145/3236454.3236500,The Secret Sauce in Efficient and Precise Static Analysis,"One important point here is that, in order to be able to conduct a precise and efficient client analysis (such as a taint analysis, typestate analysis, shape analysis, etc.), one must also make sure that the underlying pointer analysis is equally precise. This is because if that is not the case, imprecision from the pointer analysis will end up creeping into the client analysis, not only causing it to report false information but also to waste effort in computing unhelpful information.",,"Running a precise, efficiency-focused client analysis (e.g., taint/typestate/shape), but do not ensuring the underlying pointer analysis is equally precise (i.e., use a weaker/less precise pointer analysis than the client needs)","Pointer-analysis imprecision propagates into the client, causing false reports (spurious aliases/flows) and extra wasted computation on irrelevant/unhelpful information"
A56,https://dl.acm.org/doi/pdf/10.1145/3236454.3236500,The Secret Sauce in Efficient and Precise Static Analysis,"The combination of a demand-driven analysis design and an efficient, distributive static-analysis framework can yield analyses that are both highly precise and efficient. Added performance can be achieved through concise procedure summaries.",,Combining a demand-driven design (compute only what a query requires) with  an efficient distributive framework and concise summaries that can be reused,analysis becomes both highly precise and efficient
A57,https://dl.acm.org/doi/pdf/10.1145/3236454.3236500,The Secret Sauce in Efficient and Precise Static Analysis,"Also, my group has a strong focus on developing security code analyses to find security vulnerabilities, and in this application context, we have learned that developers greatly prefer approaches that indicate actual vulnerabilities rapidly and with high precision over approaches that are sound but suffer from false positives and lack efficiency. In such scenarios, the above distributive encoding hence makes a lot of sense even with summaries, despite a potential for the unsoundness this may entail.",Users may prefer high precision and speed over soundness with many false positives.,"Tuning the tool to prioritize fast, high-precision reporting (low false positives) rather than insisting on full soundness when those goals conflict in practice","produce more actionable findings with fewer false positives, but might miss some vulnerabilities (false negatives)"
A58,https://dl.acm.org/doi/pdf/10.1145/3236454.3236500,The Secret Sauce in Efficient and Precise Static Analysis,"CogniCrypt is a tool to identify misuses of cryptography APIs, and it does so through a combination of a demand-driven value analysis, typestate analysis and pointer analysis. CogniCrypt combines those analyses in the following way: First the tool syntactically scans the program’s code for method calls of interest. Typically the tool must then analyze the order in which those calls are issues on certain objects, and the parameter value passed to these calls. CogniCrypt thus uses a demand-driven typestate analysis to identify call sequences, and a demand-driven value analysis to determine possible parameter values. Both are implemented in a distributive way, and both, when encountering a heap access, use Boomerang to efficiently and precisely compute pointer information.",,"Building a crypto-misuse detection pipeline by syntactically scanning code for security-relevant API call sites, then running demand-driven typestate/value analyses around those calls, and invoking pointer analysis only when heap accesses must be resolved",makes the crypto-misuse detection workflow efficient and precise
A60,https://ieeexplore.ieee.org/abstract/document/7163045,SSLINT,"Software is rarely self-contained. Most software have external dependences such as libraries. In static analysis, the whole picture cannot usually be painted with the code of target software alone. With the absence of the code from other relevant component, tracking inter-procedural data dependences is often impossible because the analyzer has no idea what a certain library function does inside its body. A naive approach to find these missing dependences is to integrate all the relevant code for analysis. However, this approach would greatly increase the amount of code to analyze and thus reduce scalability of the analysis.",,"When inter-procedural dependences can’t be tracked because relevant external/library code is missing, integrating all relevant external code into the analysis as a naive way to recover those missing dependences.",reduces scalability
A62,https://ieeexplore.ieee.org/abstract/document/7163045,SSLINT,"Furthermore, an incomplete specification does not result in missed vulnerabilities, but only manifest as false alarms. By carefully examining the false alarms from some initial deployment of the tool, we can eliminate them and make the tool to be precise,",,Carefully examining the false alarms from some initial deployment of the tool,False positives can be reduced
A63,https://ieeexplore.ieee.org/abstract/document/7163045,SSLINT,"Static dependence analysis necessarily involves approximations, which may possibly lead to both false positives and false natives. In our implementation, we used CoderSurfer to construct PDG for our underlying analysis, which inevitably makes our results inherit the limitations from the implementation of CodeSurfer. In particular, we are aware that the following aspects of CodeSurfer would affect the precision and soundness of SSLINT:
Aggregate variables, such as arrays, unions and structures are modeled as a single variable, make SSLINT prone to false positives.",,"During PDG-based dependence tracking, modeling aggregating variables (arrays/unions/structures) as a single variable by CodeSurfer",introduce false positives
A64,https://ieeexplore.ieee.org/abstract/document/7163045,SSLINT,"Dependences between variables which share the same storage location are not modeled, leading to false negatives in SSLINT.",,"When different variables share the same storage location (reused memory), the analysis does not model dependences between them in the PDG",introduce false negatives
A65,https://ieeexplore.ieee.org/abstract/document/7163045,SSLINT,"Although CodeSurfer models popular C/C++ libraries such as libc and we also develop library models for some important API functions (Section IV.B), the modeling of libraries is far from complete. When a library function is undefined, indirect dependencies through pointer arguments, direct and indirect dependences through global and static variables are not modeled, leading to false negatives in SSLINT.",,incomplete library modelling,introduce false negatives
,https://ieeexplore.ieee.org/document/8880510,,,,,
,https://www.ndss-symposium.org/wp-content/uploads/2017/09/10_3_1.pdf,,,,,
